team_name,season,W,L,D,GF,GA,GD,points,place,annual_wage_bill,annual_transfer_spend,prev_annual_transfer_spend,lat,lon
Manchester United FC,2014/2015,20,8,10,62,37,25,70,4,168294733.0,195666000,0.0,53.463056,-2.291389
Manchester United FC,2015/2016,19,10,9,49,35,14,66,4,148561362.0,156258000,195666000.0,53.463056,-2.291389
Manchester United FC,2016/2017,18,5,15,54,29,25,69,6,187838480.0,185064000,156258000.0,53.463056,-2.291389
Manchester United FC,2017/2018,25,7,6,68,28,40,81,2,194283990.19607842,198584000,185064000.0,53.463056,-2.291389
Manchester United FC,2018/2019,19,10,9,65,54,11,66,6,173523900.0,82852000,198584000.0,53.463056,-2.291389
Manchester United FC,2019/2020,18,8,12,66,36,30,66,4,187902766.66666666,159892000,82852000.0,53.463056,-2.291389
Manchester United FC,2020/2021,21,6,11,73,44,29,74,2,217598055.66037735,84185000,159892000.0,53.463056,-2.291389
Manchester United FC,2021/2022,16,12,10,57,57,0,58,6,261324842.20183486,142312000,84185000.0,53.463056,-2.291389
Manchester United FC,2022/2023,23,9,6,58,43,15,75,3,223208481.51260504,243555000,142312000.0,53.463056,-2.291389
Manchester United FC,2023/2024,18,14,6,57,58,-1,60,8,191772093.7007874,203452000,243555000.0,53.463056,-2.291389
Leicester City FC,2014/2015,11,19,8,46,55,-9,41,14,39853126.0,23193000,0.0,52.620278,-1.142222
Leicester City FC,2015/2016,23,3,12,68,36,32,81,1,43979401.0,50193000,23193000.0,52.620278,-1.142222
Leicester City FC,2016/2017,12,18,8,48,63,-15,44,12,75967562.0,92307000,50193000.0,52.620278,-1.142222
Leicester City FC,2017/2018,12,15,11,56,60,-4,47,9,74952690.19607843,83969000,92307000.0,52.620278,-1.142222
Leicester City FC,2018/2019,15,16,7,51,48,3,52,9,91621075.0,114765000,83969000.0,52.620278,-1.142222
Leicester City FC,2019/2020,18,12,8,67,41,26,62,5,83513600.0,104420000,114765000.0,52.620278,-1.142222
Leicester City FC,2020/2021,20,12,6,68,50,18,66,5,87221481.13207547,59717000,104420000.0,52.620278,-1.142222
Leicester City FC,2021/2022,14,14,10,62,59,3,52,8,81367922.93577981,67746000,59717000.0,52.620278,-1.142222
Leicester City FC,2022/2023,9,22,7,51,68,-17,34,18,76950927.73109244,49130000,67746000.0,52.620278,-1.142222
West Ham United FC,2014/2015,12,15,11,44,47,-3,47,12,54211605.0,35412000,0.0,51.531944,0.039444
West Ham United FC,2015/2016,16,8,14,65,51,14,62,7,63603053.0,52844000,35412000.0,51.531944,0.039444
West Ham United FC,2016/2017,12,17,9,47,64,-17,45,10,67441919.0,83777000,52844000.0,51.531944,0.039444
West Ham United FC,2017/2018,10,16,12,48,68,-20,42,13,81296667.64705881,56926000,83777000.0,51.531944,0.039444
West Ham United FC,2018/2019,15,16,7,52,55,-3,52,10,94940766.34615384,101070000,56926000.0,51.531944,0.039444
West Ham United FC,2019/2020,10,19,9,49,62,-13,39,16,84622120.95238096,89360000,101070000.0,51.531944,0.039444
West Ham United FC,2020/2021,19,11,8,62,47,15,65,6,74789559.43396226,54886000,89360000.0,51.531944,0.039444
West Ham United FC,2021/2022,16,14,8,60,51,9,56,7,81571428.44036697,74609000,54886000.0,51.531944,0.039444
West Ham United FC,2022/2023,11,20,7,42,55,-13,40,14,80506417.64705883,196631000,74609000.0,51.531944,0.039444
West Ham United FC,2023/2024,14,14,10,60,74,-14,52,9,88837987.4015748,137651000,196631000.0,51.531944,0.039444
West Bromwich Albion FC,2014/2015,11,16,11,38,51,-13,44,13,42324121.0,24960000,0.0,52.509167,-1.963889
