team_name,season,W,L,D,GF,GA,GD,points,place,annual_wage_bill,annual_transfer_spend,prev_annual_transfer_spend
Manchester United FC,2015/2016,19,10,9,49,35,14,66,4,148561362.0,156258000,195666000.0
Manchester United FC,2016/2017,18,5,15,54,29,25,69,6,187838480.0,185064000,156258000.0
Manchester United FC,2017/2018,25,7,6,68,28,40,81,2,198169670.0,198584000,185064000.0
Manchester United FC,2018/2019,19,10,9,65,54,11,66,6,180464856.0,82852000,198584000.0
Manchester United FC,2019/2020,18,8,12,66,36,30,66,4,197297905.0,159892000,82852000.0
Manchester United FC,2020/2021,21,6,11,73,44,29,74,2,230653939.0,84185000,159892000.0
Manchester United FC,2021/2022,16,12,10,57,57,0,58,6,284844078.0,142312000,84185000.0
Manchester United FC,2022/2023,23,9,6,58,43,15,75,3,265618093.0,243555000,142312000.0
Manchester United FC,2023/2024,18,14,6,57,58,-1,60,8,243550559.0,203452000,243555000.0
Leicester City FC,2015/2016,23,3,12,68,36,32,81,1,43979401.0,50193000,23193000.0
Leicester City FC,2016/2017,12,18,8,48,63,-15,44,12,75967562.0,92307000,50193000.0
Leicester City FC,2017/2018,12,15,11,56,60,-4,47,9,76451744.0,83969000,92307000.0
Leicester City FC,2018/2019,15,16,7,51,48,3,52,9,95285918.0,114765000,83969000.0
Leicester City FC,2019/2020,18,12,8,67,41,26,62,5,87689280.0,104420000,114765000.0
Leicester City FC,2020/2021,20,12,6,68,50,18,66,5,92454770.0,59717000,104420000.0
Leicester City FC,2021/2022,14,14,10,62,59,3,52,8,88691036.0,67746000,59717000.0
Leicester City FC,2022/2023,9,22,7,51,68,-17,34,18,91571604.0,49130000,67746000.0
West Ham United FC,2015/2016,16,8,14,65,51,14,62,7,63603053.0,52844000,35412000.0
West Ham United FC,2016/2017,12,17,9,47,64,-17,45,10,67441919.0,83777000,52844000.0
West Ham United FC,2017/2018,10,16,12,48,68,-20,42,13,82922601.0,56926000,83777000.0
West Ham United FC,2018/2019,15,16,7,52,55,-3,52,10,98738397.0,101070000,56926000.0
West Ham United FC,2019/2020,10,19,9,49,62,-13,39,16,88853227.0,89360000,101070000.0
West Ham United FC,2020/2021,19,11,8,62,47,15,65,6,79276933.0,54886000,89360000.0
West Ham United FC,2021/2022,16,14,8,60,51,9,56,7,88912857.0,74609000,54886000.0
West Ham United FC,2022/2023,11,20,7,42,55,-13,40,14,95802637.0,196631000,74609000.0
West Ham United FC,2023/2024,14,14,10,60,74,-14,52,9,112824244.0,137651000,196631000.0
West Bromwich Albion FC,2015/2016,10,15,13,34,48,-14,43,14,49516478.0,42991000,24960000.0
West Bromwich Albion FC,2016/2017,12,17,9,43,51,-8,45,11,48847449.0,37993000,42991000.0
West Bromwich Albion FC,2017/2018,6,19,13,31,56,-25,31,20,70425716.0,53605000,37993000.0
Stoke City FC,2015/2016,14,15,9,41,55,-14,51,9,50276143.0,53714000,2021000.0
Stoke City FC,2016/2017,11,16,11,41,56,-15,44,13,61729533.0,42297000,53714000.0
Stoke City FC,2017/2018,7,19,12,35,68,-33,33,18,58497686.0,57897000,42297000.0
Arsenal FC,2015/2016,20,7,11,65,36,29,71,2,117097928.0,26777000,119212000.0
Arsenal FC,2016/2017,23,9,6,77,44,33,75,5,123269447.0,113159000,26777000.0
Arsenal FC,2017/2018,19,13,6,74,51,23,63,6,188730521.0,152972000,113159000.0
Arsenal FC,2018/2019,21,10,7,73,51,22,70,5,161425557.0,80424000,152972000.0
Arsenal FC,2019/2020,14,10,14,56,48,8,56,8,141366618.0,152872000,80424000.0
Arsenal FC,2020/2021,18,13,7,55,39,16,61,8,175843663.0,86188000,152872000.0
Arsenal FC,2021/2022,22,13,3,61,48,13,69,5,136393624.0,167551000,86188000.0
Arsenal FC,2022/2023,26,6,6,88,43,45,84,2,118166655.0,186823000,167551000.0
Arsenal FC,2023/2024,28,5,5,91,29,62,89,2,196534543.0,235372000,186823000.0
Liverpool FC,2015/2016,16,10,12,63,50,13,60,8,113242366.0,126738000,151738000.0
Liverpool FC,2016/2017,22,6,10,78,42,36,76,4,109341486.0,80248000,126738000.0
Liverpool FC,2017/2018,21,5,12,84,38,46,75,4,114096241.0,173879000,80248000.0
Liverpool FC,2018/2019,30,1,7,89,22,67,97,2,152004295.0,182470000,173879000.0
Liverpool FC,2019/2020,32,3,3,85,33,52,99,1,136989906.0,2055000,182470000.0
Liverpool FC,2020/2021,20,9,9,68,42,26,69,3,156130569.0,85045000,2055000.0
Liverpool FC,2021/2022,28,2,8,94,26,68,92,2,172220653.0,94326000,85045000.0
Liverpool FC,2022/2023,19,9,10,75,47,28,67,5,188280884.0,145915000,94326000.0
Liverpool FC,2023/2024,24,4,10,86,41,45,82,3,161265423.0,172092000,145915000.0
Newcastle United FC,2015/2016,9,19,10,44,65,-21,37,18,58739775.0,108215000,45371000.0
Newcastle United FC,2018/2019,12,17,9,42,48,-6,45,14,59443389.0,60100000,46934000.0
Newcastle United FC,2019/2020,11,16,11,38,58,-20,44,13,80271532.0,67992000,60100000.0
Newcastle United FC,2020/2021,12,17,9,46,62,-16,45,13,68627328.0,38874000,67992000.0
Newcastle United FC,2021/2022,13,15,10,44,62,-18,49,11,81774162.0,130684000,38874000.0
Newcastle United FC,2022/2023,19,5,14,68,33,35,71,4,96286181.0,185126000,130684000.0
Newcastle United FC,2023/2024,18,14,6,85,62,23,60,7,100021494.0,148315000,185126000.0
Burnley FC,2017/2018,14,12,12,36,39,-3,54,7,38826329.0,35883000,45967000.0
Burnley FC,2018/2019,11,20,7,45,68,-23,40,15,52786491.0,33093000,35883000.0
Burnley FC,2019/2020,15,14,9,43,50,-7,54,9,53033354.0,13910000,33093000.0
Burnley FC,2020/2021,10,19,9,33,55,-22,39,17,43827947.0,1161000,13910000.0
Burnley FC,2021/2022,7,17,14,34,53,-19,35,18,47130158.0,49431000,1161000.0
Aston Villa FC,2015/2016,3,27,8,27,76,-49,17,20,44400378.0,66904000,13698000.0
Aston Villa FC,2020/2021,16,15,7,55,46,9,55,11,74073800.0,101495000,148690000.0
Aston Villa FC,2021/2022,13,19,6,52,54,-2,45,14,85256450.0,130077000,101495000.0
Aston Villa FC,2022/2023,18,13,7,51,46,5,61,7,116957789.0,113362000,130077000.0
